version;0.3;;;
3CX;>= 18.0.0.451 and < 18.0.8.917;CVE-2023-27362;3CX Uncontrolled Search Path Local Privilege Escalation Vulnerability;https://nvd.nist.gov/vuln/detail/CVE-2023-27362
3CX;>= 18.11.1213 and <= 18.12.416;CVE-2023-29059;3CX DesktopApp through 18.12.416 has embedded malicious code, as exploited in the wild...;https://nvd.nist.gov/vuln/detail/CVE-2023-29059
3CX;>= 20.0 and < 20.0.0.1494;CVE-2023-49954;The CRM Integration in 3CX before 18.0.9.23 and 20 before 20.0.0.1494 allows SQL Inject...;https://nvd.nist.gov/vuln/detail/CVE-2023-49954
3CX;>= 6.0.806.0 and <= 6.1793;CVE-2008-6894;Multiple cross-site scripting (XSS) vulnerabilities in login.php in 3CX Phone System Fr...;https://nvd.nist.gov/vuln/detail/CVE-2008-6894
Akuvox C313W-2;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox C313W-2;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox C315;115.116.2613;CVE-2021-31726;Akuvox C315 115.116.2613 allows remote command Injection via the cfgd_server service;https://nvd.nist.gov/vuln/detail/CVE-2021-31726
Akuvox E11;;CVE-2023-0343;Akuvox E11 contains a function that encrypts messages which are then forwarded;https://nvd.nist.gov/vuln/detail/CVE-2023-0343
Akuvox E11;;CVE-2023-0344;Akuvox E11 appears to be using a custom version of dropbear SSH server;https://nvd.nist.gov/vuln/detail/CVE-2023-0344
Akuvox E11;;CVE-2023-0345;The Akuvox E11 secure shell (SSH) server is enabled by default and can be accessed by t...;https://nvd.nist.gov/vuln/detail/CVE-2023-0345
Akuvox E11;;CVE-2023-0346;Akuvox E11 cloud login is performed through an unencrypted HTTP connection;https://nvd.nist.gov/vuln/detail/CVE-2023-0346
Akuvox E11;;CVE-2023-0347;The Akuvox E11 Media Access Control (MAC) address, a primary identifier, combined with...;https://nvd.nist.gov/vuln/detail/CVE-2023-0347
Akuvox E11;;CVE-2023-0348;Akuvox E11 allows direct SIP calls. No access control is enforced by the SIP servers, w...;https://nvd.nist.gov/vuln/detail/CVE-2023-0348
Akuvox E11;;CVE-2023-0349;The Akuvox E11 libvoice library provides unauthenticated access to the camera capture f...;https://nvd.nist.gov/vuln/detail/CVE-2023-0349
Akuvox E11;;CVE-2023-0350;Akuvox E11 does not ensure that a file extension is associated with the file provided;https://nvd.nist.gov/vuln/detail/CVE-2023-0350
Akuvox E11;;CVE-2023-0351;The Akuvox E11 web server backend library allows command injection in the device phone-...;https://nvd.nist.gov/vuln/detail/CVE-2023-0351
Akuvox E11;;CVE-2023-0352;The Akuvox E11 password recovery webpage can be accessed without authentication, and an...;https://nvd.nist.gov/vuln/detail/CVE-2023-0352
Akuvox E11;;CVE-2023-0353;Akuvox E11 uses a weak encryption algorithm for stored passwords and uses a hard-coded...;https://nvd.nist.gov/vuln/detail/CVE-2023-0353
Akuvox E11;;CVE-2023-0354;The Akuvox E11 web server can be accessed without any user authentication, and this cou...;https://nvd.nist.gov/vuln/detail/CVE-2023-0354
Akuvox E11;;CVE-2023-0355;Akuvox E11 uses a hard-coded cryptographic key, which could allow an attacker to decryp...;https://nvd.nist.gov/vuln/detail/CVE-2023-0355
Akuvox E16C;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox NC-2;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox NC-2;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox NS-2;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox NS-2;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox NX-2;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox NX-2;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox R20A-2;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox R20A-2;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox R20K-2;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox R20K-2;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox R29;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox R29;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox S532;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox S532;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox S539;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox S539;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox SP-R50P;50.0.6.156;CVE-2019-12324;A command injection (missing input validation) issue in the IP address field for the lo...;https://nvd.nist.gov/vuln/detail/CVE-2019-12324
Akuvox SP-R50P;50.0.6.156;CVE-2019-12326;Missing file and path validation in the ringtone upload function of the Akuvox R50P VoI...;https://nvd.nist.gov/vuln/detail/CVE-2019-12326
Akuvox SP-R50P;50.0.6.156;CVE-2019-12327;Hardcoded credentials in the Akuvox R50P VoIP phone 50.0.6.156 allow an attacker to get...;https://nvd.nist.gov/vuln/detail/CVE-2019-12327
Akuvox X912;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox X912;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox X915;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox X915;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Akuvox X916;912.30.1.137;CVE-2024-58336;Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote...;https://nvd.nist.gov/vuln/detail/CVE-2024-58336
Akuvox X916;912.30.1.137;CVE-2024-58337;Akuvox Smart Intercom S539 contains an improper access control vulnerability that allow...;https://nvd.nist.gov/vuln/detail/CVE-2024-58337
Alcatel-Lucent Omnipcx Office;>= 210 and < 210/091.001;CVE-2008-1331;cgi-data/FastJSData.cgi in OmniPCX Office with Internet Access services OXO210 before 2...;https://nvd.nist.gov/vuln/detail/CVE-2008-1331
Alcatel-Lucent Omnipcx Office;>= 610 and < 610/014.001;CVE-2008-1331;cgi-data/FastJSData.cgi in OmniPCX Office with Internet Access services OXO210 before 2...;https://nvd.nist.gov/vuln/detail/CVE-2008-1331
Alcatel-Lucent Omnipcx;4400;CVE-2002-0293;FTP service in Alcatel OmniPCX 4400 allows the "halt" user to gain root privileges by m...;https://nvd.nist.gov/vuln/detail/CVE-2002-0293
Alcatel-Lucent Omnipcx;4400;CVE-2002-0294;Alcatel 4400 installs the /chetc/shutdown command with setgid privileges, which allows...;https://nvd.nist.gov/vuln/detail/CVE-2002-0294
Alcatel-Lucent Omnipcx;4400;CVE-2002-0295;Alcatel OmniPCX 4400 installs files with world-writable permissions, which allows local...;https://nvd.nist.gov/vuln/detail/CVE-2002-0295
Alcatel-Lucent Omnipcx;4400;CVE-2002-1691;Alcatel OmniPCX 4400 installs known user accounts and passwords in the /etc/password fi...;https://nvd.nist.gov/vuln/detail/CVE-2002-1691
Alcatel-Lucent Omnipcx;5.0;CVE-2003-1108;The Session Initiation Protocol (SIP) implementation in Alcatel OmniPCX Enterprise 5.0...;https://nvd.nist.gov/vuln/detail/CVE-2003-1108
Alcatel-Lucent Omnipcx;5.0;CVE-2011-0344;Multiple stack-based buffer overflows in unspecified CGI programs in the Unified Mainte...;https://nvd.nist.gov/vuln/detail/CVE-2011-0344
Alcatel-Lucent Omnipcx;6.2;CVE-2011-0344;Multiple stack-based buffer overflows in unspecified CGI programs in the Unified Mainte...;https://nvd.nist.gov/vuln/detail/CVE-2011-0344
Alcatel-Lucent Omnipcx;7.0;CVE-2007-2512;Alcatel-Lucent IP-Touch Telephone running OmniPCX Enterprise 7.0 and later enables the...;https://nvd.nist.gov/vuln/detail/CVE-2007-2512
Alcatel-Lucent Omnipcx;8.0;CVE-2011-0344;Multiple stack-based buffer overflows in unspecified CGI programs in the Unified Mainte...;https://nvd.nist.gov/vuln/detail/CVE-2011-0344
Alcatel-Lucent Omnipcx;<= 7.1;CVE-2007-5361;The Communication Server in Alcatel-Lucent OmniPCX Enterprise 7.1 and earlier caches an...;https://nvd.nist.gov/vuln/detail/CVE-2007-5361
Alcatel-Lucent Omnipcx;<= 9.0;CVE-2011-0344;Multiple stack-based buffer overflows in unspecified CGI programs in the Unified Mainte...;https://nvd.nist.gov/vuln/detail/CVE-2011-0344
Alcatel-Lucent Omnipcx;>= 7.0 and <= 7.1;CVE-2011-0344;Multiple stack-based buffer overflows in unspecified CGI programs in the Unified Mainte...;https://nvd.nist.gov/vuln/detail/CVE-2011-0344
Alcatel-Lucent Omnitouch 8400 Instant Communications;<= 6.7.2;CVE-2013-4653;Multiple cross-site scripting (XSS) vulnerabilities in the signin functionality of ics...;https://nvd.nist.gov/vuln/detail/CVE-2013-4653
Alcatel-Lucent Omnitouch 8460 Advanced Communication;<= 9.0;CVE-2013-4653;Multiple cross-site scripting (XSS) vulnerabilities in the signin functionality of ics...;https://nvd.nist.gov/vuln/detail/CVE-2013-4653
Alcatel-Lucent Voice Mail System;;CVE-2007-1822;Alcatel-Lucent Lucent Technologies voice mail systems allow remote attackers to retriev...;https://nvd.nist.gov/vuln/detail/CVE-2007-1822
Asterisk Appliance Developer KIT;1.3;CVE-2008-1332;Unspecified vulnerability in Asterisk Open Source 1.2.x before 1.2.27, 1.4.x before 1.4...;https://nvd.nist.gov/vuln/detail/CVE-2008-1332
Asterisk Appliance Developer KIT;1.4;CVE-2008-1289;Multiple buffer overflows in Asterisk Open Source 1.4.x before 1.4.18.1 and 1.4.19-rc3,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1289
Asterisk Appliance Developer KIT;1.4;CVE-2008-1390;The AsteriskGUI HTTP server in Asterisk Open Source 1.4.x before 1.4.19-rc3 and 1.6.x b...;https://nvd.nist.gov/vuln/detail/CVE-2008-1390
Asterisk Appliance Developer KIT;;CVE-2008-1923;The IAX2 channel driver (chan_iax2) in Asterisk 1.2 before revision 72630 and 1.4 befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-1923
Asterisk Appliance Developer KIT;<= 0.4;CVE-2007-3762;Stack-based buffer overflow in the IAX2 channel driver (chan_iax2) in Asterisk before 1...;https://nvd.nist.gov/vuln/detail/CVE-2007-3762
Asterisk Appliance Developer KIT;<= 0.4;CVE-2007-3763;The IAX2 channel driver (chan_iax2) in Asterisk before 1.2.22 and 1.4.x before 1.4.8, B...;https://nvd.nist.gov/vuln/detail/CVE-2007-3763
Asterisk Appliance Developer KIT;<= 0.4;CVE-2007-3764;The Skinny channel driver (chan_skinny) in Asterisk before 1.2.22 and 1.4.x before 1.4....;https://nvd.nist.gov/vuln/detail/CVE-2007-3764
Asterisk Appliance Developer KIT;<= 0.4;CVE-2007-3765;The STUN implementation in Asterisk 1.4.x before 1.4.8, AsteriskNOW before beta7, Appli...;https://nvd.nist.gov/vuln/detail/CVE-2007-3765
Asterisk Appliance Developer KIT;<= 0.6.0;CVE-2007-4280;The Skinny channel driver (chan_skinny) in Asterisk Open Source before 1.4.10, Asterisk...;https://nvd.nist.gov/vuln/detail/CVE-2007-4280
Asterisk Appliance Developer KIT;<= 0.7;CVE-2007-4455;The SIP channel driver (chan_sip) in Asterisk Open Source 1.4.x before 1.4.11, Asterisk...;https://nvd.nist.gov/vuln/detail/CVE-2007-4455
Asterisk Appliance Developer KIT;<= 1.4;CVE-2008-1332;Unspecified vulnerability in Asterisk Open Source 1.2.x before 1.2.27, 1.4.x before 1.4...;https://nvd.nist.gov/vuln/detail/CVE-2008-1332
Asterisk Appliance Developer KIT;<= 1.4_revision_95945;CVE-2008-0095;The SIP channel driver in Asterisk Open Source 1.4.x before 1.4.17, Business Edition be...;https://nvd.nist.gov/vuln/detail/CVE-2008-0095
Asterisk Appliance Developer KIT;>= 0.2 and <= 0.8;CVE-2008-1332;Unspecified vulnerability in Asterisk Open Source 1.2.x before 1.2.27, 1.4.x before 1.4...;https://nvd.nist.gov/vuln/detail/CVE-2008-1332
Asterisk Appliance Developer KIT;>= 0.2 and <= 0.8;CVE-2008-1390;The AsteriskGUI HTTP server in Asterisk Open Source 1.4.x before 1.4.19-rc3 and 1.6.x b...;https://nvd.nist.gov/vuln/detail/CVE-2008-1390
Asterisk Appliance Developer KIT;>= 0.2 and <= 0.8;CVE-2008-1897;The IAX2 channel driver (chan_iax2) in Asterisk Open Source 1.0.x, 1.2.x before 1.2.28,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1897
Asterisk Appliance Developer KIT;>= 0.2 and <= 0.8;CVE-2008-3264;The FWDOWNL firmware-download implementation in Asterisk Open Source 1.0.x, 1.2.x befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-3264
Asterisk Business Edition;<= a;CVE-2008-1332;Unspecified vulnerability in Asterisk Open Source 1.2.x before 1.2.27, 1.4.x before 1.4...;https://nvd.nist.gov/vuln/detail/CVE-2008-1332
Asterisk Business Edition;<= b.2.5.0;CVE-2008-1332;Unspecified vulnerability in Asterisk Open Source 1.2.x before 1.2.27, 1.4.x before 1.4...;https://nvd.nist.gov/vuln/detail/CVE-2008-1332
Asterisk Business Edition;<= b.2.5.1;CVE-2008-1897;The IAX2 channel driver (chan_iax2) in Asterisk Open Source 1.0.x, 1.2.x before 1.2.28,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1897
Asterisk Business Edition;<= b.2.5.2;CVE-2009-0041;IAX2 in Asterisk Open Source 1.2.x before 1.2.31, 1.4.x before 1.4.23-rc4, and 1.6.x be...;https://nvd.nist.gov/vuln/detail/CVE-2009-0041
Asterisk Business Edition;<= b2.5.1;CVE-2008-1923;The IAX2 channel driver (chan_iax2) in Asterisk 1.2 before revision 72630 and 1.4 befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-1923
Asterisk Business Edition;<= b2.5.2;CVE-2008-2119;Asterisk Open Source 1.0.x and 1.2.x before 1.2.29 and Business Edition A.x.x and B.x.x...;https://nvd.nist.gov/vuln/detail/CVE-2008-2119
Asterisk Business Edition;<= c.1.0-beta8;CVE-2008-1289;Multiple buffer overflows in Asterisk Open Source 1.4.x before 1.4.18.1 and 1.4.19-rc3,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1289
Asterisk Business Edition;<= c.1.0;CVE-2009-0041;IAX2 in Asterisk Open Source 1.2.x before 1.2.31, 1.4.x before 1.4.23-rc4, and 1.6.x be...;https://nvd.nist.gov/vuln/detail/CVE-2009-0041
Asterisk Business Edition;<= c.1.0beta7;CVE-2008-0095;The SIP channel driver in Asterisk Open Source 1.4.x before 1.4.17, Business Edition be...;https://nvd.nist.gov/vuln/detail/CVE-2008-0095
Asterisk Business Edition;<= c.1.0beta7;CVE-2008-1289;Multiple buffer overflows in Asterisk Open Source 1.4.x before 1.4.18.1 and 1.4.19-rc3,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1289
Asterisk Business Edition;<= c.1.6.1;CVE-2008-1332;Unspecified vulnerability in Asterisk Open Source 1.2.x before 1.2.27, 1.4.x before 1.4...;https://nvd.nist.gov/vuln/detail/CVE-2008-1332
Asterisk Business Edition;<= c1.8.0;CVE-2008-1897;The IAX2 channel driver (chan_iax2) in Asterisk Open Source 1.0.x, 1.2.x before 1.2.28,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1897
Asterisk Business Edition;<= c1.8.0;CVE-2008-1923;The IAX2 channel driver (chan_iax2) in Asterisk 1.2 before revision 72630 and 1.4 befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-1923
Asterisk Business Edition;>= b.1.3.2 and <= b.1.3.3;CVE-2008-2119;Asterisk Open Source 1.0.x and 1.2.x before 1.2.29 and Business Edition A.x.x and B.x.x...;https://nvd.nist.gov/vuln/detail/CVE-2008-2119
Asterisk Business Edition;>= b.2.2.0 and <= b.2.3.4;CVE-2007-6430;Asterisk Open Source 1.2.x before 1.2.26 and 1.4.x before 1.4.16, and Business Edition...;https://nvd.nist.gov/vuln/detail/CVE-2007-6430
Asterisk Business Edition;>= b.2.2.0 and <= b.2.5.0;CVE-2008-1897;The IAX2 channel driver (chan_iax2) in Asterisk Open Source 1.0.x, 1.2.x before 1.2.28,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1897
Asterisk Business Edition;>= b.2.2.0 and <= b.2.5.0;CVE-2008-1923;The IAX2 channel driver (chan_iax2) in Asterisk 1.2 before revision 72630 and 1.4 befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-1923
Asterisk Business Edition;>= b.2.2.0 and <= b.2.5.3;CVE-2008-3264;The FWDOWNL firmware-download implementation in Asterisk Open Source 1.0.x, 1.2.x befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-3264
Asterisk Business Edition;>= b.2.2.0 and <= b.2.5.3;CVE-2009-0041;IAX2 in Asterisk Open Source 1.2.x before 1.2.31, 1.4.x before 1.4.23-rc4, and 1.6.x be...;https://nvd.nist.gov/vuln/detail/CVE-2009-0041
Asterisk Business Edition;>= b.2.2.0 and <= b2.5.1;CVE-2008-2119;Asterisk Open Source 1.0.x and 1.2.x before 1.2.29 and Business Edition A.x.x and B.x.x...;https://nvd.nist.gov/vuln/detail/CVE-2008-2119
Asterisk Business Edition;>= b.2.3.4 and <= b.2.5.3;CVE-2008-5558;Asterisk Open Source 1.2.26 through 1.2.30.3 and Business Edition B.2.3.5 through B.2.5...;https://nvd.nist.gov/vuln/detail/CVE-2008-5558
Asterisk Business Edition;>= c.1.0 and <= b.1.3.3;CVE-2009-0041;IAX2 in Asterisk Open Source 1.2.x before 1.2.31, 1.4.x before 1.4.23-rc4, and 1.6.x be...;https://nvd.nist.gov/vuln/detail/CVE-2009-0041
Asterisk Business Edition;>= c.1.0 and <= c.1.6.2;CVE-2008-1897;The IAX2 channel driver (chan_iax2) in Asterisk Open Source 1.0.x, 1.2.x before 1.2.28,...;https://nvd.nist.gov/vuln/detail/CVE-2008-1897
Asterisk Business Edition;>= c.1.0-beta7 and <= c.1.0-beta8;CVE-2008-1390;The AsteriskGUI HTTP server in Asterisk Open Source 1.4.x before 1.4.19-rc3 and 1.6.x b...;https://nvd.nist.gov/vuln/detail/CVE-2008-1390
Asterisk Business Edition;>= c.1.0-beta7 and <= c.1.6.1;CVE-2008-1923;The IAX2 channel driver (chan_iax2) in Asterisk 1.2 before revision 72630 and 1.4 befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-1923
Asterisk Business Edition;>= c.1.0-beta7 and <= c1.8.1;CVE-2008-3264;The FWDOWNL firmware-download implementation in Asterisk Open Source 1.0.x, 1.2.x befor...;https://nvd.nist.gov/vuln/detail/CVE-2008-3264
Asterisk Business Edition;>= c.1.0beta7 and <= b.1.3.3;CVE-2007-6430;Asterisk Open Source 1.2.x before 1.2.26 and 1.4.x before 1.4.16, and Business Edition...;https://nvd.nist.gov/vuln/detail/CVE-2007-6430
Asterisk Digiumphones;<= 10.7.0;CVE-2012-2186;Incomplete blacklist vulnerability in main/manager.c in Asterisk Open Source 1.8.x befo...;https://nvd.nist.gov/vuln/detail/CVE-2012-2186
